id,syear,sex,alter,anz_pers,anz_kind,bildung,erwerb,branche,gesund_org,lebensz_org,einkommenj1,einkommenj2,einkommenm1,einkommenm2,high_education
194.0,2015.0,[1] female,59.0,2.0,0.0,10.5,[-2] Employed part-time,[84] Public administration and defense; compulsory social security,[4] Not so well ,6.0,28678.943359375,0.0,1659.1285400390625,0.0,0
194.0,2016.0,[1] female,60.0,2.0,0.0,10.5,[-2] Employed part-time,[84] Public administration and defense; compulsory social security,[3] Satisfactory,5.0,19962.29296875,0.0,1809.33642578125,0.0,0
194.0,2017.0,[1] female,61.0,2.0,0.0,10.5,[-2] Employed part-time,[84] Public administration and defense; compulsory social security,[3] Satisfactory,7.0,22227.67578125,0.0,1849.0374755859375,0.0,0
194.0,2018.0,[1] female,62.0,2.0,0.0,10.5,[-2] Employed part-time,[84] Public administration and defense; compulsory social security,[5] Badly ,5.0,22100.37890625,0.0,1616.513671875,0.0,0
194.0,2019.0,[1] female,63.0,2.0,0.0,10.5,[-2] Employed part-time,[84] Public administration and defense; compulsory social security,[4] Not so well ,6.0,23157.919921875,0.0,1901.001220703125,0.0,0
19052.0,2015.0,[1] female,74.0,2.0,0.0,10.0,[5] Not employed,,[2] Well ,8.0,0.0,0.0,0.0,0.0,0
27495.0,2016.0,[1] female,35.0,3.0,1.0,15.0,[5] Not employed,,[2] Well ,8.0,14430.2646484375,0.0,0.0,0.0,1
27495.0,2018.0,[1] female,37.0,3.0,1.0,15.0,[-1] Employed full-time ,,[3] Satisfactory,8.0,48435.13671875,0.0,3991.452392578125,0.0,1
27495.0,2019.0,[1] female,38.0,3.0,1.0,15.0,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[2] Well ,8.0,53623.96484375,0.0,4517.93310546875,0.0,1
22539.0,2015.0,[0] male,85.0,2.0,0.0,18.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,1
13224.0,2015.0,[1] female,73.0,1.0,0.0,10.5,[5] Not employed,,[4] Not so well ,5.0,0.0,0.0,0.0,0.0,0
13224.0,2016.0,[1] female,74.0,1.0,0.0,10.5,[5] Not employed,,,8.0,0.0,0.0,0.0,0.0,0
17316.0,2015.0,[0] male,43.0,4.0,2.0,15.0,[-1] Employed full-time ,[88] Social services (excluding homes),[3] Satisfactory,8.0,41679.8984375,0.0,4085.025390625,0.0,1
17316.0,2016.0,[0] male,44.0,4.0,2.0,15.0,[-1] Employed full-time ,[88] Social services (excluding homes),[3] Satisfactory,7.0,39990.83203125,0.0,3096.56201171875,0.0,1
17316.0,2017.0,[0] male,45.0,4.0,2.0,15.0,[-1] Employed full-time ,[87] Homes (excluding rest homes and vacation homes),[2] Well ,8.0,34152.5078125,0.0,2848.561767578125,0.0,1
